predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
V_FERNANDEZ,NDVI,1,0.0619,0.0606,0.0631,0.0774
V_FERNANDEZ,NDVI,2,0.0578,0.0554,0.0603,0.0771
V_FERNANDEZ,NDVI,3,0.0612,0.0599,0.0624,0.0776
V_FERNANDEZ,NDVI,4,0.0627,0.0624,0.0629,0.0733
V_FERNANDEZ,NDVI,5,0.0637,0.0632,0.0643,0.0783
V_FERNANDEZ,NDVI,6,0.0637,0.0634,0.0640,0.0751
V_FERNANDEZ,NDVI,7,0.0587,0.0567,0.0608,0.0728
V_FERNANDEZ,NDVI,8,0.0562,0.0562,0.0562,0.0716
V_FERNANDEZ,NDVI,9,0.0566,0.0552,0.0581,0.0680
V_FERNANDEZ,NDVI,10,0.0560,0.0555,0.0565,0.0659
V_FERNANDEZ,NDVI,11,0.0551,0.0537,0.0565,0.0634
V_FERNANDEZ,NDVI,12,0.0543,0.0540,0.0546,0.0645
V_FERNANDEZ,NDVI,13,0.0474,0.0466,0.0483,0.0665
V_FERNANDEZ,NDVI,14,0.0524,0.0490,0.0559,0.0636
V_FERNANDEZ,NDVI,15,0.0584,0.0584,0.0584,0.0602
V_FERNANDEZ,NDVI,16,0.0485,0.0485,0.0485,0.0493
V_FERNANDEZ,NDVI,17,0.0482,0.0467,0.0496,0.0550
V_FERNANDEZ,NDVI,18,0.0487,0.0487,0.0487,0.0556
V_FERNANDEZ,NDVI,19,0.0362,0.0362,0.0362,0.0513
V_FERNANDEZ,NDVI,20,0.0447,0.0418,0.0477,0.0445
V_FERNANDEZ,NDVI,21,,,,0.0362
V_FERNANDEZ,NDVI,22,0.0467,0.0467,0.0467,0.0270
V_FERNANDEZ,NDVI,23,0.0345,0.0345,0.0345,
V_FERNANDEZ,NDVI,24,0.0342,0.0342,0.0342,
V_FERNANDEZ,NDVI,25,0.0346,0.0346,0.0346,
V_FERNANDEZ,NDVI,26,0.0312,0.0294,0.0330,
V_FERNANDEZ,NDVI,27,0.0322,0.0306,0.0339,
V_FERNANDEZ,NDVI,28,0.0327,0.0323,0.0332,
V_FERNANDEZ,NDVI,29,0.0342,0.0324,0.0359,
V_FERNANDEZ,NDVI,30,0.0370,0.0370,0.0370,
V_FERNANDEZ,NDVI,31,,,,
V_FERNANDEZ,NDVI,32,0.0372,0.0323,0.0420,
V_FERNANDEZ,NDVI,33,0.0368,0.0368,0.0368,
V_FERNANDEZ,NDVI,34,0.0626,0.0626,0.0626,
V_FERNANDEZ,NDVI,35,0.0369,0.0369,0.0369,
V_FERNANDEZ,NDVI,36,0.0470,0.0376,0.0564,
V_FERNANDEZ,NDVI,37,0.0412,0.0342,0.0482,
V_FERNANDEZ,NDVI,38,0.0445,0.0357,0.0532,
V_FERNANDEZ,NDVI,39,0.0348,0.0290,0.0405,
V_FERNANDEZ,NDVI,40,0.0367,0.0367,0.0367,
V_FERNANDEZ,NDVI,41,0.0187,0.0187,0.0187,
V_FERNANDEZ,NDVI,42,0.0280,0.0260,0.0300,
V_FERNANDEZ,NDVI,43,0.0359,0.0349,0.0369,
V_FERNANDEZ,NDVI,44,0.0393,0.0393,0.0393,
V_FERNANDEZ,NDVI,45,0.0470,0.0454,0.0486,
V_FERNANDEZ,NDVI,46,0.0495,0.0483,0.0507,
V_FERNANDEZ,NDVI,47,0.0563,0.0548,0.0578,
V_FERNANDEZ,NDVI,48,0.0606,0.0578,0.0635,
V_FERNANDEZ,NDVI,49,0.0630,0.0601,0.0659,
V_FERNANDEZ,NDVI,50,0.0667,0.0623,0.0711,
V_FERNANDEZ,NDVI,51,0.0667,0.0647,0.0687,
V_FERNANDEZ,NDVI,52,0.0690,0.0674,0.0707,
V_FERNANDEZ,NDMI,1,0.0301,0.0298,0.0305,0.0362
V_FERNANDEZ,NDMI,2,0.0255,0.0241,0.0269,0.0364
V_FERNANDEZ,NDMI,3,0.0275,0.0268,0.0281,0.0370
V_FERNANDEZ,NDMI,4,0.0285,0.0284,0.0285,0.0343
V_FERNANDEZ,NDMI,5,0.0291,0.0281,0.0300,0.0364
V_FERNANDEZ,NDMI,6,0.0279,0.0275,0.0283,0.0328
V_FERNANDEZ,NDMI,7,0.0241,0.0220,0.0261,0.0314
V_FERNANDEZ,NDMI,8,0.0211,0.0211,0.0211,0.0313
V_FERNANDEZ,NDMI,9,0.0212,0.0193,0.0231,0.0280
V_FERNANDEZ,NDMI,10,0.0210,0.0199,0.0221,0.0260
V_FERNANDEZ,NDMI,11,0.0206,0.0189,0.0224,0.0239
V_FERNANDEZ,NDMI,12,0.0192,0.0186,0.0198,0.0254
V_FERNANDEZ,NDMI,13,0.0141,0.0130,0.0153,0.0263
V_FERNANDEZ,NDMI,14,0.0172,0.0150,0.0195,0.0245
V_FERNANDEZ,NDMI,15,0.0193,0.0193,0.0193,0.0234
V_FERNANDEZ,NDMI,16,0.0150,0.0150,0.0150,0.0188
V_FERNANDEZ,NDMI,17,0.0134,0.0132,0.0136,0.0246
V_FERNANDEZ,NDMI,18,0.0120,0.0120,0.0120,0.0193
V_FERNANDEZ,NDMI,19,0.0186,0.0186,0.0186,0.0223
V_FERNANDEZ,NDMI,20,0.0114,0.0104,0.0124,0.0116
V_FERNANDEZ,NDMI,21,,,,0.0068
V_FERNANDEZ,NDMI,22,0.0030,0.0030,0.0030,0.0033
V_FERNANDEZ,NDMI,23,-0.0054,-0.0054,-0.0054,
V_FERNANDEZ,NDMI,24,-0.0067,-0.0067,-0.0067,
V_FERNANDEZ,NDMI,25,-0.0017,-0.0017,-0.0017,
V_FERNANDEZ,NDMI,26,-0.0061,-0.0065,-0.0058,
V_FERNANDEZ,NDMI,27,-0.0075,-0.0090,-0.0060,
V_FERNANDEZ,NDMI,28,-0.0047,-0.0062,-0.0032,
V_FERNANDEZ,NDMI,29,-0.0031,-0.0045,-0.0017,
V_FERNANDEZ,NDMI,30,0.0075,0.0075,0.0075,
V_FERNANDEZ,NDMI,31,,,,
V_FERNANDEZ,NDMI,32,0.0078,0.0066,0.0089,
V_FERNANDEZ,NDMI,33,0.0055,0.0055,0.0055,
V_FERNANDEZ,NDMI,34,0.0243,0.0243,0.0243,
V_FERNANDEZ,NDMI,35,0.0004,0.0004,0.0004,
V_FERNANDEZ,NDMI,36,0.0127,0.0038,0.0215,
V_FERNANDEZ,NDMI,37,0.0095,0.0019,0.0171,
V_FERNANDEZ,NDMI,38,0.0099,0.0022,0.0175,
V_FERNANDEZ,NDMI,39,0.0022,-0.0029,0.0074,
V_FERNANDEZ,NDMI,40,0.0061,0.0061,0.0061,
V_FERNANDEZ,NDMI,41,-0.0032,-0.0032,-0.0032,
V_FERNANDEZ,NDMI,42,0.0010,-0.0003,0.0024,
V_FERNANDEZ,NDMI,43,0.0087,0.0081,0.0092,
V_FERNANDEZ,NDMI,44,0.0105,0.0105,0.0105,
V_FERNANDEZ,NDMI,45,0.0176,0.0173,0.0179,
V_FERNANDEZ,NDMI,46,0.0197,0.0185,0.0209,
V_FERNANDEZ,NDMI,47,0.0224,0.0219,0.0229,
V_FERNANDEZ,NDMI,48,0.0263,0.0247,0.0280,
V_FERNANDEZ,NDMI,49,0.0275,0.0261,0.0288,
V_FERNANDEZ,NDMI,50,0.0308,0.0286,0.0329,
V_FERNANDEZ,NDMI,51,0.0319,0.0313,0.0325,
V_FERNANDEZ,NDMI,52,0.0324,0.0319,0.0329,
V_FERNANDEZ,NDWI,1,-0.0603,-0.0613,-0.0594,-0.0706
V_FERNANDEZ,NDWI,2,-0.0581,-0.0595,-0.0567,-0.0706
V_FERNANDEZ,NDWI,3,-0.0606,-0.0618,-0.0594,-0.0712
V_FERNANDEZ,NDWI,4,-0.0612,-0.0618,-0.0606,-0.0674
V_FERNANDEZ,NDWI,5,-0.0625,-0.0626,-0.0625,-0.0714
V_FERNANDEZ,NDWI,6,-0.0628,-0.0630,-0.0625,-0.0708
V_FERNANDEZ,NDWI,7,-0.0603,-0.0613,-0.0592,-0.0698
V_FERNANDEZ,NDWI,8,-0.0597,-0.0597,-0.0597,-0.0698
V_FERNANDEZ,NDWI,9,-0.0590,-0.0599,-0.0581,-0.0671
V_FERNANDEZ,NDWI,10,-0.0590,-0.0594,-0.0587,-0.0659
V_FERNANDEZ,NDWI,11,-0.0584,-0.0598,-0.0570,-0.0642
V_FERNANDEZ,NDWI,12,-0.0576,-0.0582,-0.0571,-0.0660
V_FERNANDEZ,NDWI,13,-0.0516,-0.0519,-0.0514,-0.0670
V_FERNANDEZ,NDWI,14,-0.0571,-0.0589,-0.0553,-0.0656
V_FERNANDEZ,NDWI,15,-0.0619,-0.0619,-0.0619,-0.0638
V_FERNANDEZ,NDWI,16,-0.0564,-0.0564,-0.0564,-0.0530
V_FERNANDEZ,NDWI,17,-0.0570,-0.0586,-0.0554,-0.0581
V_FERNANDEZ,NDWI,18,-0.0577,-0.0577,-0.0577,-0.0639
V_FERNANDEZ,NDWI,19,-0.0433,-0.0433,-0.0433,-0.0569
V_FERNANDEZ,NDWI,20,-0.0562,-0.0585,-0.0540,-0.0597
V_FERNANDEZ,NDWI,21,,,,-0.0573
V_FERNANDEZ,NDWI,22,-0.0612,-0.0612,-0.0612,-0.0445
V_FERNANDEZ,NDWI,23,-0.0529,-0.0529,-0.0529,
V_FERNANDEZ,NDWI,24,-0.0506,-0.0506,-0.0506,
V_FERNANDEZ,NDWI,25,-0.0568,-0.0568,-0.0568,
V_FERNANDEZ,NDWI,26,-0.0449,-0.0460,-0.0438,
V_FERNANDEZ,NDWI,27,-0.0460,-0.0466,-0.0455,
V_FERNANDEZ,NDWI,28,-0.0449,-0.0461,-0.0436,
V_FERNANDEZ,NDWI,29,-0.0462,-0.0469,-0.0455,
V_FERNANDEZ,NDWI,30,-0.0431,-0.0431,-0.0431,
V_FERNANDEZ,NDWI,31,,,,
V_FERNANDEZ,NDWI,32,-0.0411,-0.0458,-0.0363,
V_FERNANDEZ,NDWI,33,-0.0395,-0.0395,-0.0395,
V_FERNANDEZ,NDWI,34,-0.0615,-0.0615,-0.0615,
V_FERNANDEZ,NDWI,35,-0.0468,-0.0468,-0.0468,
V_FERNANDEZ,NDWI,36,-0.0526,-0.0583,-0.0469,
V_FERNANDEZ,NDWI,37,-0.0483,-0.0524,-0.0442,
V_FERNANDEZ,NDWI,38,-0.0515,-0.0572,-0.0458,
V_FERNANDEZ,NDWI,39,-0.0451,-0.0482,-0.0421,
V_FERNANDEZ,NDWI,40,-0.0468,-0.0468,-0.0468,
V_FERNANDEZ,NDWI,41,-0.0334,-0.0334,-0.0334,
V_FERNANDEZ,NDWI,42,-0.0401,-0.0415,-0.0388,
V_FERNANDEZ,NDWI,43,-0.0449,-0.0455,-0.0443,
V_FERNANDEZ,NDWI,44,-0.0470,-0.0470,-0.0470,
V_FERNANDEZ,NDWI,45,-0.0511,-0.0525,-0.0497,
V_FERNANDEZ,NDWI,46,-0.0520,-0.0524,-0.0516,
V_FERNANDEZ,NDWI,47,-0.0569,-0.0578,-0.0560,
V_FERNANDEZ,NDWI,48,-0.0595,-0.0609,-0.0580,
V_FERNANDEZ,NDWI,49,-0.0613,-0.0629,-0.0596,
V_FERNANDEZ,NDWI,50,-0.0632,-0.0659,-0.0605,
V_FERNANDEZ,NDWI,51,-0.0630,-0.0643,-0.0618,
V_FERNANDEZ,NDWI,52,-0.0650,-0.0661,-0.0639,
V_FERNANDEZ,MNDWI,1,-0.0376,-0.0384,-0.0369,-0.0466
V_FERNANDEZ,MNDWI,2,-0.0393,-0.0395,-0.0390,-0.0463
V_FERNANDEZ,MNDWI,3,-0.0406,-0.0413,-0.0398,-0.0469
V_FERNANDEZ,MNDWI,4,-0.0402,-0.0408,-0.0395,-0.0434
V_FERNANDEZ,MNDWI,5,-0.0414,-0.0420,-0.0409,-0.0480
V_FERNANDEZ,MNDWI,6,-0.0423,-0.0429,-0.0417,-0.0499
V_FERNANDEZ,MNDWI,7,-0.0424,-0.0429,-0.0419,-0.0496
V_FERNANDEZ,MNDWI,8,-0.0446,-0.0446,-0.0446,-0.0494
V_FERNANDEZ,MNDWI,9,-0.0434,-0.0440,-0.0428,-0.0487
V_FERNANDEZ,MNDWI,10,-0.0436,-0.0441,-0.0430,-0.0485
V_FERNANDEZ,MNDWI,11,-0.0431,-0.0434,-0.0429,-0.0478
V_FERNANDEZ,MNDWI,12,-0.0432,-0.0434,-0.0430,-0.0490
V_FERNANDEZ,MNDWI,13,-0.0407,-0.0414,-0.0399,-0.0495
