predio,band,month,historical_median,historical_p25,historical_p75,value_2026
D_MONDACA,NDVI,1,0.0817,0.0806,0.0829,0.0818
D_MONDACA,NDVI,2,0.0778,0.0745,0.0798,0.0802
D_MONDACA,NDVI,3,0.0733,0.0688,0.0776,0.0760
D_MONDACA,NDVI,4,0.0748,0.0690,0.0791,0.0693
D_MONDACA,NDVI,5,0.0676,0.0625,0.0714,0.0667
D_MONDACA,NDVI,6,0.0391,0.0385,0.0470,
D_MONDACA,NDVI,7,0.0325,0.0302,0.0333,
D_MONDACA,NDVI,8,0.0275,0.0267,0.0280,
D_MONDACA,NDVI,9,0.0251,0.0245,0.0253,
D_MONDACA,NDVI,10,0.0638,0.0494,0.0760,
D_MONDACA,NDVI,11,0.0855,0.0831,0.0859,
D_MONDACA,NDVI,12,0.0854,0.0847,0.0860,
D_MONDACA,NDMI,1,0.0379,0.0371,0.0396,0.0377
D_MONDACA,NDMI,2,0.0344,0.0313,0.0361,0.0359
D_MONDACA,NDMI,3,0.0298,0.0275,0.0332,0.0325
D_MONDACA,NDMI,4,0.0325,0.0283,0.0360,0.0312
D_MONDACA,NDMI,5,0.0295,0.0274,0.0306,0.0280
D_MONDACA,NDMI,6,0.0100,0.0080,0.0182,
D_MONDACA,NDMI,7,-0.0044,-0.0105,-0.0029,
D_MONDACA,NDMI,8,-0.0169,-0.0173,-0.0151,
D_MONDACA,NDMI,9,-0.0186,-0.0196,-0.0174,
D_MONDACA,NDMI,10,0.0126,-0.0008,0.0244,
D_MONDACA,NDMI,11,0.0380,0.0346,0.0391,
D_MONDACA,NDMI,12,0.0410,0.0403,0.0412,
D_MONDACA,NDWI,1,-0.0744,-0.0756,-0.0739,-0.0748
D_MONDACA,NDWI,2,-0.0727,-0.0740,-0.0712,-0.0744
D_MONDACA,NDWI,3,-0.0699,-0.0727,-0.0674,-0.0717
D_MONDACA,NDWI,4,-0.0714,-0.0738,-0.0673,-0.0668
D_MONDACA,NDWI,5,-0.0685,-0.0704,-0.0664,-0.0679
D_MONDACA,NDWI,6,-0.0628,-0.0639,-0.0615,
D_MONDACA,NDWI,7,-0.0540,-0.0580,-0.0498,
D_MONDACA,NDWI,8,-0.0446,-0.0465,-0.0429,
D_MONDACA,NDWI,9,-0.0424,-0.0426,-0.0418,
D_MONDACA,NDWI,10,-0.0625,-0.0697,-0.0563,
D_MONDACA,NDWI,11,-0.0741,-0.0749,-0.0730,
D_MONDACA,NDWI,12,-0.0753,-0.0761,-0.0751,
D_MONDACA,MNDWI,1,-0.0515,-0.0521,-0.0508,-0.0521
D_MONDACA,MNDWI,2,-0.0518,-0.0525,-0.0507,-0.0529
D_MONDACA,MNDWI,3,-0.0512,-0.0524,-0.0497,-0.0512
D_MONDACA,MNDWI,4,-0.0509,-0.0521,-0.0489,-0.0471
D_MONDACA,MNDWI,5,-0.0499,-0.0515,-0.0480,-0.0503
D_MONDACA,MNDWI,6,-0.0563,-0.0563,-0.0536,
D_MONDACA,MNDWI,7,-0.0600,-0.0606,-0.0583,
D_MONDACA,MNDWI,8,-0.0577,-0.0589,-0.0559,
D_MONDACA,MNDWI,9,-0.0562,-0.0572,-0.0552,
D_MONDACA,MNDWI,10,-0.0552,-0.0557,-0.0540,
D_MONDACA,MNDWI,11,-0.0503,-0.0524,-0.0496,
D_MONDACA,MNDWI,12,-0.0506,-0.0512,-0.0499,
D_MONDACA,GNDVI,1,0.0744,0.0739,0.0756,0.0748
D_MONDACA,GNDVI,2,0.0727,0.0712,0.0740,0.0744
D_MONDACA,GNDVI,3,0.0699,0.0674,0.0727,0.0717
D_MONDACA,GNDVI,4,0.0714,0.0673,0.0738,0.0668
D_MONDACA,GNDVI,5,0.0685,0.0664,0.0704,0.0679
D_MONDACA,GNDVI,6,0.0628,0.0615,0.0639,
D_MONDACA,GNDVI,7,0.0540,0.0498,0.0580,
D_MONDACA,GNDVI,8,0.0446,0.0429,0.0465,
D_MONDACA,GNDVI,9,0.0424,0.0418,0.0426,
D_MONDACA,GNDVI,10,0.0625,0.0563,0.0697,
D_MONDACA,GNDVI,11,0.0741,0.0730,0.0749,
D_MONDACA,GNDVI,12,0.0753,0.0751,0.0761,
D_MONDACA,EVI,1,0.0744,0.0693,0.0750,0.0738
D_MONDACA,EVI,2,0.0614,0.0576,0.0647,0.0639
D_MONDACA,EVI,3,0.0530,0.0491,0.0569,0.0564
D_MONDACA,EVI,4,0.0530,0.0493,0.0564,0.0486
D_MONDACA,EVI,5,0.0420,0.0376,0.0467,0.0425
D_MONDACA,EVI,6,0.0206,0.0197,0.0252,
D_MONDACA,EVI,7,0.0157,0.0153,0.0171,
D_MONDACA,EVI,8,0.0137,0.0133,0.0146,
D_MONDACA,EVI,9,0.0130,0.0126,0.0136,
D_MONDACA,EVI,10,0.0383,0.0265,0.0488,
D_MONDACA,EVI,11,0.0701,0.0653,0.0739,
D_MONDACA,EVI,12,0.0778,0.0760,0.0792,
D_MONDACA,SAVI,1,0.0627,0.0604,0.0640,0.0618
D_MONDACA,SAVI,2,0.0555,0.0521,0.0573,0.0581
D_MONDACA,SAVI,3,0.0488,0.0454,0.0526,0.0520
D_MONDACA,SAVI,4,0.0495,0.0461,0.0528,0.0457
D_MONDACA,SAVI,5,0.0414,0.0379,0.0454,0.0429
D_MONDACA,SAVI,6,0.0230,0.0228,0.0294,
D_MONDACA,SAVI,7,0.0176,0.0168,0.0197,
D_MONDACA,SAVI,8,0.0147,0.0144,0.0162,
D_MONDACA,SAVI,9,0.0139,0.0136,0.0144,
D_MONDACA,SAVI,10,0.0378,0.0279,0.0478,
D_MONDACA,SAVI,11,0.0629,0.0587,0.0650,
