predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
A_BRITO_RCI,NDVI,1,0.0788,0.0788,0.0788,
A_BRITO_RCI,NDVI,2,0.0829,0.0829,0.0829,0.0791
A_BRITO_RCI,NDVI,3,0.0808,0.0801,0.0815,0.0783
A_BRITO_RCI,NDVI,4,0.0763,0.0763,0.0763,0.0774
A_BRITO_RCI,NDVI,5,0.0808,0.0808,0.0808,0.0807
A_BRITO_RCI,NDVI,6,0.0807,0.0800,0.0815,0.0830
A_BRITO_RCI,NDVI,7,0.0808,0.0807,0.0809,0.0834
A_BRITO_RCI,NDVI,8,0.0788,0.0788,0.0788,0.0829
A_BRITO_RCI,NDVI,9,0.0805,0.0804,0.0806,0.0815
A_BRITO_RCI,NDVI,10,0.0829,0.0826,0.0831,0.0834
A_BRITO_RCI,NDVI,11,0.0798,0.0779,0.0817,0.0811
A_BRITO_RCI,NDVI,12,0.0799,0.0790,0.0809,0.0844
A_BRITO_RCI,NDVI,13,0.0780,0.0780,0.0780,0.0840
A_BRITO_RCI,NDVI,14,0.0858,0.0850,0.0867,0.0847
A_BRITO_RCI,NDVI,15,0.0869,0.0869,0.0869,0.0870
A_BRITO_RCI,NDVI,16,0.0867,0.0867,0.0867,0.0637
A_BRITO_RCI,NDVI,17,0.0854,0.0847,0.0861,0.0863
A_BRITO_RCI,NDVI,18,0.0864,0.0864,0.0864,0.0884
A_BRITO_RCI,NDVI,19,0.0845,0.0845,0.0845,0.0875
A_BRITO_RCI,NDVI,20,0.0822,0.0793,0.0852,0.0867
A_BRITO_RCI,NDVI,21,,,,0.0808
A_BRITO_RCI,NDVI,22,0.0915,0.0914,0.0916,
A_BRITO_RCI,NDVI,23,,,,0.0771
A_BRITO_RCI,NDVI,24,0.0849,0.0849,0.0849,0.0904
A_BRITO_RCI,NDVI,25,0.0897,0.0897,0.0897,
A_BRITO_RCI,NDVI,26,0.0865,0.0853,0.0877,
A_BRITO_RCI,NDVI,27,0.0885,0.0878,0.0892,
A_BRITO_RCI,NDVI,28,0.0877,0.0871,0.0882,
A_BRITO_RCI,NDVI,29,0.0878,0.0875,0.0880,
A_BRITO_RCI,NDVI,30,0.0710,0.0710,0.0710,
A_BRITO_RCI,NDVI,31,,,,
A_BRITO_RCI,NDVI,32,0.0869,0.0866,0.0873,
A_BRITO_RCI,NDVI,33,,,,
A_BRITO_RCI,NDVI,34,0.0874,0.0874,0.0874,
A_BRITO_RCI,NDVI,35,0.0901,0.0901,0.0901,
A_BRITO_RCI,NDVI,36,0.0845,0.0844,0.0845,
A_BRITO_RCI,NDVI,37,0.0840,0.0825,0.0854,
A_BRITO_RCI,NDVI,38,0.0727,0.0654,0.0801,
A_BRITO_RCI,NDVI,39,0.0870,0.0865,0.0875,
A_BRITO_RCI,NDVI,40,0.0849,0.0849,0.0849,
A_BRITO_RCI,NDVI,41,0.0864,0.0864,0.0864,
A_BRITO_RCI,NDVI,42,,,,
A_BRITO_RCI,NDVI,43,0.0827,0.0816,0.0837,
A_BRITO_RCI,NDVI,44,0.0810,0.0794,0.0825,
A_BRITO_RCI,NDVI,45,0.0756,0.0756,0.0756,
A_BRITO_RCI,NDVI,46,0.0787,0.0786,0.0787,
A_BRITO_RCI,NDVI,47,0.0784,0.0776,0.0793,
A_BRITO_RCI,NDVI,48,0.0807,0.0807,0.0807,
A_BRITO_RCI,NDVI,49,0.0781,0.0770,0.0791,
A_BRITO_RCI,NDVI,50,0.0792,0.0789,0.0794,
A_BRITO_RCI,NDVI,51,0.0772,0.0765,0.0779,
A_BRITO_RCI,NDVI,52,0.0790,0.0787,0.0792,
A_BRITO_RCI,NDMI,1,0.0368,0.0368,0.0368,
A_BRITO_RCI,NDMI,2,0.0374,0.0374,0.0374,0.0352
A_BRITO_RCI,NDMI,3,0.0367,0.0360,0.0373,0.0369
A_BRITO_RCI,NDMI,4,0.0349,0.0349,0.0349,0.0339
A_BRITO_RCI,NDMI,5,0.0366,0.0359,0.0372,0.0369
A_BRITO_RCI,NDMI,6,0.0362,0.0351,0.0373,0.0386
A_BRITO_RCI,NDMI,7,0.0360,0.0350,0.0370,0.0394
A_BRITO_RCI,NDMI,8,0.0371,0.0371,0.0371,0.0399
A_BRITO_RCI,NDMI,9,0.0356,0.0347,0.0366,0.0391
A_BRITO_RCI,NDMI,10,0.0369,0.0362,0.0377,0.0388
A_BRITO_RCI,NDMI,11,0.0363,0.0357,0.0368,0.0380
A_BRITO_RCI,NDMI,12,0.0361,0.0351,0.0371,0.0402
A_BRITO_RCI,NDMI,13,0.0358,0.0358,0.0358,0.0431
A_BRITO_RCI,NDMI,14,0.0417,0.0391,0.0443,0.0432
A_BRITO_RCI,NDMI,15,0.0462,0.0462,0.0462,0.0453
A_BRITO_RCI,NDMI,16,0.0393,0.0393,0.0393,0.0396
A_BRITO_RCI,NDMI,17,0.0429,0.0410,0.0447,0.0472
A_BRITO_RCI,NDMI,18,0.0480,0.0480,0.0480,0.0489
A_BRITO_RCI,NDMI,19,0.0499,0.0499,0.0499,0.0479
A_BRITO_RCI,NDMI,20,0.0502,0.0497,0.0506,0.0503
A_BRITO_RCI,NDMI,21,,,,0.0502
A_BRITO_RCI,NDMI,22,0.0577,0.0560,0.0593,
A_BRITO_RCI,NDMI,23,,,,0.0440
A_BRITO_RCI,NDMI,24,0.0579,0.0579,0.0579,0.0510
A_BRITO_RCI,NDMI,25,0.0588,0.0588,0.0588,
A_BRITO_RCI,NDMI,26,0.0537,0.0532,0.0542,
A_BRITO_RCI,NDMI,27,0.0526,0.0525,0.0528,
A_BRITO_RCI,NDMI,28,0.0530,0.0522,0.0538,
A_BRITO_RCI,NDMI,29,0.0520,0.0517,0.0522,
A_BRITO_RCI,NDMI,30,0.0453,0.0453,0.0453,
A_BRITO_RCI,NDMI,31,,,,
A_BRITO_RCI,NDMI,32,0.0495,0.0488,0.0501,
A_BRITO_RCI,NDMI,33,,,,
A_BRITO_RCI,NDMI,34,0.0469,0.0469,0.0469,
A_BRITO_RCI,NDMI,35,0.0501,0.0501,0.0501,
A_BRITO_RCI,NDMI,36,0.0461,0.0456,0.0466,
A_BRITO_RCI,NDMI,37,0.0439,0.0428,0.0451,
A_BRITO_RCI,NDMI,38,0.0343,0.0281,0.0404,
A_BRITO_RCI,NDMI,39,0.0450,0.0443,0.0458,
A_BRITO_RCI,NDMI,40,0.0424,0.0424,0.0424,
A_BRITO_RCI,NDMI,41,0.0424,0.0424,0.0424,
A_BRITO_RCI,NDMI,42,,,,
A_BRITO_RCI,NDMI,43,0.0382,0.0374,0.0390,
A_BRITO_RCI,NDMI,44,0.0370,0.0359,0.0382,
A_BRITO_RCI,NDMI,45,0.0347,0.0347,0.0347,
A_BRITO_RCI,NDMI,46,0.0353,0.0351,0.0356,
A_BRITO_RCI,NDMI,47,0.0346,0.0340,0.0352,
A_BRITO_RCI,NDMI,48,0.0361,0.0361,0.0361,
A_BRITO_RCI,NDMI,49,0.0349,0.0338,0.0360,
A_BRITO_RCI,NDMI,50,0.0363,0.0358,0.0368,
A_BRITO_RCI,NDMI,51,0.0358,0.0352,0.0363,
A_BRITO_RCI,NDMI,52,0.0362,0.0357,0.0367,
A_BRITO_RCI,NDWI,1,-0.0710,-0.0710,-0.0710,
A_BRITO_RCI,NDWI,2,-0.0748,-0.0748,-0.0748,-0.0724
A_BRITO_RCI,NDWI,3,-0.0737,-0.0745,-0.0730,-0.0713
A_BRITO_RCI,NDWI,4,-0.0684,-0.0684,-0.0684,-0.0709
A_BRITO_RCI,NDWI,5,-0.0738,-0.0739,-0.0737,-0.0735
A_BRITO_RCI,NDWI,6,-0.0738,-0.0747,-0.0729,-0.0757
A_BRITO_RCI,NDWI,7,-0.0745,-0.0746,-0.0743,-0.0761
A_BRITO_RCI,NDWI,8,-0.0733,-0.0733,-0.0733,-0.0765
A_BRITO_RCI,NDWI,9,-0.0747,-0.0748,-0.0745,-0.0758
A_BRITO_RCI,NDWI,10,-0.0771,-0.0775,-0.0767,-0.0773
A_BRITO_RCI,NDWI,11,-0.0741,-0.0762,-0.0719,-0.0753
A_BRITO_RCI,NDWI,12,-0.0742,-0.0753,-0.0731,-0.0792
A_BRITO_RCI,NDWI,13,-0.0710,-0.0710,-0.0710,-0.0781
A_BRITO_RCI,NDWI,14,-0.0799,-0.0801,-0.0796,-0.0782
A_BRITO_RCI,NDWI,15,-0.0803,-0.0803,-0.0803,-0.0806
A_BRITO_RCI,NDWI,16,-0.0818,-0.0818,-0.0818,-0.0590
A_BRITO_RCI,NDWI,17,-0.0798,-0.0801,-0.0794,-0.0793
A_BRITO_RCI,NDWI,18,-0.0806,-0.0806,-0.0806,-0.0818
A_BRITO_RCI,NDWI,19,-0.0778,-0.0778,-0.0778,-0.0811
A_BRITO_RCI,NDWI,20,-0.0756,-0.0790,-0.0723,-0.0799
A_BRITO_RCI,NDWI,21,,,,-0.0734
A_BRITO_RCI,NDWI,22,-0.0860,-0.0864,-0.0856,
A_BRITO_RCI,NDWI,23,,,,-0.0716
A_BRITO_RCI,NDWI,24,-0.0745,-0.0745,-0.0745,-0.0840
A_BRITO_RCI,NDWI,25,-0.0829,-0.0829,-0.0829,
A_BRITO_RCI,NDWI,26,-0.0796,-0.0810,-0.0782,
A_BRITO_RCI,NDWI,27,-0.0822,-0.0829,-0.0815,
A_BRITO_RCI,NDWI,28,-0.0815,-0.0817,-0.0812,
A_BRITO_RCI,NDWI,29,-0.0816,-0.0819,-0.0813,
A_BRITO_RCI,NDWI,30,-0.0656,-0.0656,-0.0656,
A_BRITO_RCI,NDWI,31,,,,
A_BRITO_RCI,NDWI,32,-0.0802,-0.0807,-0.0798,
A_BRITO_RCI,NDWI,33,,,,
A_BRITO_RCI,NDWI,34,-0.0803,-0.0803,-0.0803,
A_BRITO_RCI,NDWI,35,-0.0825,-0.0825,-0.0825,
A_BRITO_RCI,NDWI,36,-0.0768,-0.0769,-0.0766,
A_BRITO_RCI,NDWI,37,-0.0763,-0.0776,-0.0751,
A_BRITO_RCI,NDWI,38,-0.0660,-0.0725,-0.0595,
A_BRITO_RCI,NDWI,39,-0.0782,-0.0786,-0.0779,
A_BRITO_RCI,NDWI,40,-0.0748,-0.0748,-0.0748,
A_BRITO_RCI,NDWI,41,-0.0767,-0.0767,-0.0767,
A_BRITO_RCI,NDWI,42,,,,
A_BRITO_RCI,NDWI,43,-0.0723,-0.0726,-0.0721,
A_BRITO_RCI,NDWI,44,-0.0709,-0.0720,-0.0698,
A_BRITO_RCI,NDWI,45,-0.0669,-0.0669,-0.0669,
A_BRITO_RCI,NDWI,46,-0.0698,-0.0702,-0.0695,
A_BRITO_RCI,NDWI,47,-0.0702,-0.0707,-0.0697,
A_BRITO_RCI,NDWI,48,-0.0725,-0.0725,-0.0725,
A_BRITO_RCI,NDWI,49,-0.0704,-0.0713,-0.0695,
A_BRITO_RCI,NDWI,50,-0.0708,-0.0711,-0.0705,
A_BRITO_RCI,NDWI,51,-0.0696,-0.0700,-0.0691,
A_BRITO_RCI,NDWI,52,-0.0709,-0.0712,-0.0706,
A_BRITO_RCI,MNDWI,1,-0.0466,-0.0466,-0.0466,
A_BRITO_RCI,MNDWI,2,-0.0522,-0.0522,-0.0522,-0.0502
A_BRITO_RCI,MNDWI,3,-0.0512,-0.0519,-0.0504,-0.0469
A_BRITO_RCI,MNDWI,4,-0.0440,-0.0440,-0.0440,-0.0489
A_BRITO_RCI,MNDWI,5,-0.0512,-0.0516,-0.0508,-0.0504
A_BRITO_RCI,MNDWI,6,-0.0517,-0.0523,-0.0511,-0.0527
A_BRITO_RCI,MNDWI,7,-0.0529,-0.0534,-0.0524,-0.0527
A_BRITO_RCI,MNDWI,8,-0.0501,-0.0501,-0.0501,-0.0530
A_BRITO_RCI,MNDWI,9,-0.0535,-0.0545,-0.0525,-0.0525
A_BRITO_RCI,MNDWI,10,-0.0564,-0.0577,-0.0552,-0.0554
A_BRITO_RCI,MNDWI,11,-0.0520,-0.0561,-0.0479,-0.0526
A_BRITO_RCI,MNDWI,12,-0.0521,-0.0548,-0.0494,-0.0578
A_BRITO_RCI,MNDWI,13,-0.0473,-0.0473,-0.0473,-0.0530
A_BRITO_RCI,MNDWI,14,-0.0574,-0.0591,-0.0557,-0.0532
A_BRITO_RCI,MNDWI,15,-0.0546,-0.0546,-0.0546,-0.0560
A_BRITO_RCI,MNDWI,16,-0.0631,-0.0631,-0.0631,-0.0251
A_BRITO_RCI,MNDWI,17,-0.0563,-0.0572,-0.0555,-0.0516
