predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
A_BRITO_RPA,NDVI,1,0.5296,0.5296,0.5296,
A_BRITO_RPA,NDVI,2,0.5078,0.5078,0.5078,0.6194
A_BRITO_RPA,NDVI,3,0.5215,0.5054,0.5375,0.6132
A_BRITO_RPA,NDVI,4,0.4570,0.4570,0.4570,0.6134
A_BRITO_RPA,NDVI,5,0.5144,0.4997,0.5290,0.6280
A_BRITO_RPA,NDVI,6,0.5154,0.4951,0.5356,0.6430
A_BRITO_RPA,NDVI,7,0.5207,0.5013,0.5401,0.6397
A_BRITO_RPA,NDVI,8,0.5627,0.5627,0.5627,0.6377
A_BRITO_RPA,NDVI,9,0.5282,0.5126,0.5438,0.6279
A_BRITO_RPA,NDVI,10,0.5466,0.5337,0.5596,0.6288
A_BRITO_RPA,NDVI,11,0.4743,0.4485,0.5000,0.6335
A_BRITO_RPA,NDVI,12,0.5462,0.5346,0.5578,0.6503
A_BRITO_RPA,NDVI,13,0.4846,0.4846,0.4846,0.6681
A_BRITO_RPA,NDVI,14,0.5856,0.5662,0.6050,0.6731
A_BRITO_RPA,NDVI,15,0.6178,0.6178,0.6178,0.6879
A_BRITO_RPA,NDVI,16,0.5630,0.5630,0.5630,0.5588
A_BRITO_RPA,NDVI,17,0.5969,0.5795,0.6143,0.6934
A_BRITO_RPA,NDVI,18,0.6375,0.6375,0.6375,0.7082
A_BRITO_RPA,NDVI,19,0.5899,0.5899,0.5899,0.6894
A_BRITO_RPA,NDVI,20,0.6216,0.6049,0.6382,0.7210
A_BRITO_RPA,NDVI,21,,,,0.6965
A_BRITO_RPA,NDVI,22,0.6609,0.6409,0.6808,
A_BRITO_RPA,NDVI,23,,,,0.5550
A_BRITO_RPA,NDVI,24,0.6108,0.6108,0.6108,0.7529
A_BRITO_RPA,NDVI,25,0.7245,0.7245,0.7245,
A_BRITO_RPA,NDVI,26,0.6555,0.6447,0.6663,
A_BRITO_RPA,NDVI,27,0.6486,0.6300,0.6671,
A_BRITO_RPA,NDVI,28,0.6365,0.6160,0.6570,
A_BRITO_RPA,NDVI,29,0.6351,0.6158,0.6543,
A_BRITO_RPA,NDVI,30,0.5381,0.5381,0.5381,
A_BRITO_RPA,NDVI,31,,,,
A_BRITO_RPA,NDVI,32,0.6315,0.6089,0.6542,
A_BRITO_RPA,NDVI,33,,,,
A_BRITO_RPA,NDVI,34,0.5859,0.5859,0.5859,
A_BRITO_RPA,NDVI,35,0.6609,0.6609,0.6609,
A_BRITO_RPA,NDVI,36,0.5999,0.5878,0.6121,
A_BRITO_RPA,NDVI,37,0.5890,0.5702,0.6077,
A_BRITO_RPA,NDVI,38,0.6140,0.6140,0.6140,
A_BRITO_RPA,NDVI,39,0.5767,0.5643,0.5891,
A_BRITO_RPA,NDVI,40,0.5445,0.5445,0.5445,
A_BRITO_RPA,NDVI,41,0.5815,0.5815,0.5815,
A_BRITO_RPA,NDVI,42,,,,
A_BRITO_RPA,NDVI,43,0.5451,0.5309,0.5593,
A_BRITO_RPA,NDVI,44,0.5410,0.5281,0.5540,
A_BRITO_RPA,NDVI,45,0.5448,0.5448,0.5448,
A_BRITO_RPA,NDVI,46,0.5417,0.5163,0.5672,
A_BRITO_RPA,NDVI,47,0.5516,0.5323,0.5709,
A_BRITO_RPA,NDVI,48,0.5276,0.5276,0.5276,
A_BRITO_RPA,NDVI,49,0.5619,0.5438,0.5800,
A_BRITO_RPA,NDVI,50,0.5701,0.5511,0.5891,
A_BRITO_RPA,NDVI,51,0.5642,0.5465,0.5818,
A_BRITO_RPA,NDVI,52,0.5657,0.5461,0.5853,
A_BRITO_RPA,NDMI,1,0.1273,0.1273,0.1273,
A_BRITO_RPA,NDMI,2,0.1044,0.1044,0.1044,0.1796
A_BRITO_RPA,NDMI,3,0.1130,0.1014,0.1246,0.1910
A_BRITO_RPA,NDMI,4,0.0896,0.0896,0.0896,0.1729
A_BRITO_RPA,NDMI,5,0.1145,0.1048,0.1241,0.1807
A_BRITO_RPA,NDMI,6,0.1175,0.1022,0.1329,0.1938
A_BRITO_RPA,NDMI,7,0.1209,0.1063,0.1355,0.2022
A_BRITO_RPA,NDMI,8,0.1525,0.1525,0.1525,0.1984
A_BRITO_RPA,NDMI,9,0.1261,0.1137,0.1386,0.1837
A_BRITO_RPA,NDMI,10,0.1452,0.1360,0.1543,0.1761
A_BRITO_RPA,NDMI,11,0.1225,0.1197,0.1253,0.1909
A_BRITO_RPA,NDMI,12,0.1429,0.1318,0.1541,0.1983
A_BRITO_RPA,NDMI,13,0.1109,0.1109,0.1109,0.2237
A_BRITO_RPA,NDMI,14,0.1786,0.1608,0.1965,0.2344
A_BRITO_RPA,NDMI,15,0.2045,0.2045,0.2045,0.2434
A_BRITO_RPA,NDMI,16,0.1628,0.1628,0.1628,0.2468
A_BRITO_RPA,NDMI,17,0.1901,0.1764,0.2038,0.2579
A_BRITO_RPA,NDMI,18,0.2261,0.2261,0.2261,0.2687
A_BRITO_RPA,NDMI,19,0.2124,0.2124,0.2124,0.2872
A_BRITO_RPA,NDMI,20,0.2375,0.2149,0.2600,0.2916
A_BRITO_RPA,NDMI,21,,,,0.3121
A_BRITO_RPA,NDMI,22,0.2794,0.2778,0.2809,
A_BRITO_RPA,NDMI,23,,,,0.1564
A_BRITO_RPA,NDMI,24,0.2492,0.2492,0.2492,0.3047
A_BRITO_RPA,NDMI,25,0.3322,0.3322,0.3322,
A_BRITO_RPA,NDMI,26,0.2523,0.2420,0.2625,
A_BRITO_RPA,NDMI,27,0.2324,0.2214,0.2433,
A_BRITO_RPA,NDMI,28,0.2366,0.2166,0.2566,
A_BRITO_RPA,NDMI,29,0.2341,0.2181,0.2502,
A_BRITO_RPA,NDMI,30,0.2430,0.2430,0.2430,
A_BRITO_RPA,NDMI,31,,,,
A_BRITO_RPA,NDMI,32,0.2271,0.2101,0.2440,
A_BRITO_RPA,NDMI,33,,,,
A_BRITO_RPA,NDMI,34,0.1926,0.1926,0.1926,
A_BRITO_RPA,NDMI,35,0.2474,0.2474,0.2474,
A_BRITO_RPA,NDMI,36,0.2065,0.1982,0.2148,
A_BRITO_RPA,NDMI,37,0.1958,0.1847,0.2069,
A_BRITO_RPA,NDMI,38,0.2155,0.2155,0.2155,
A_BRITO_RPA,NDMI,39,0.1873,0.1782,0.1964,
A_BRITO_RPA,NDMI,40,0.1570,0.1570,0.1570,
A_BRITO_RPA,NDMI,41,0.1996,0.1996,0.1996,
A_BRITO_RPA,NDMI,42,,,,
A_BRITO_RPA,NDMI,43,0.1367,0.1191,0.1543,
A_BRITO_RPA,NDMI,44,0.1343,0.1189,0.1496,
A_BRITO_RPA,NDMI,45,0.1744,0.1744,0.1744,
A_BRITO_RPA,NDMI,46,0.1419,0.1178,0.1660,
A_BRITO_RPA,NDMI,47,0.1438,0.1248,0.1627,
A_BRITO_RPA,NDMI,48,0.1232,0.1232,0.1232,
A_BRITO_RPA,NDMI,49,0.1511,0.1377,0.1646,
A_BRITO_RPA,NDMI,50,0.1560,0.1425,0.1696,
A_BRITO_RPA,NDMI,51,0.1519,0.1374,0.1664,
A_BRITO_RPA,NDMI,52,0.1491,0.1345,0.1636,
A_BRITO_RPA,NDWI,1,-0.6086,-0.6086,-0.6086,
A_BRITO_RPA,NDWI,2,-0.5950,-0.5950,-0.5950,-0.6749
A_BRITO_RPA,NDWI,3,-0.6103,-0.6253,-0.5953,-0.6642
A_BRITO_RPA,NDWI,4,-0.5408,-0.5408,-0.5408,-0.6685
A_BRITO_RPA,NDWI,5,-0.6098,-0.6210,-0.5986,-0.6846
A_BRITO_RPA,NDWI,6,-0.6096,-0.6281,-0.5912,-0.7029
A_BRITO_RPA,NDWI,7,-0.6161,-0.6314,-0.6008,-0.7017
A_BRITO_RPA,NDWI,8,-0.6476,-0.6476,-0.6476,-0.7043
A_BRITO_RPA,NDWI,9,-0.6205,-0.6336,-0.6074,-0.6947
A_BRITO_RPA,NDWI,10,-0.6404,-0.6512,-0.6295,-0.6995
A_BRITO_RPA,NDWI,11,-0.5678,-0.5956,-0.5399,-0.6937
A_BRITO_RPA,NDWI,12,-0.6344,-0.6430,-0.6259,-0.7148
A_BRITO_RPA,NDWI,13,-0.5711,-0.5711,-0.5711,-0.7219
A_BRITO_RPA,NDWI,14,-0.6705,-0.6854,-0.6557,-0.7245
A_BRITO_RPA,NDWI,15,-0.6929,-0.6929,-0.6929,-0.7408
A_BRITO_RPA,NDWI,16,-0.6556,-0.6556,-0.6556,-0.5883
A_BRITO_RPA,NDWI,17,-0.6750,-0.6870,-0.6629,-0.7383
A_BRITO_RPA,NDWI,18,-0.7025,-0.7025,-0.7025,-0.7539
