predio,band,month,historical_median,historical_p25,historical_p75,value_2026
R_PORFIRI,NDVI,1,0.0638,0.0441,0.0684,0.0870
R_PORFIRI,NDVI,2,0.0630,0.0518,0.0724,0.0882
R_PORFIRI,NDVI,3,0.0595,0.0548,0.0700,0.0841
R_PORFIRI,NDVI,4,0.0676,0.0587,0.0746,0.0808
R_PORFIRI,NDVI,5,0.0585,0.0503,0.0713,0.0670
R_PORFIRI,NDVI,6,0.0427,0.0314,0.0537,
R_PORFIRI,NDVI,7,0.0279,0.0237,0.0327,
R_PORFIRI,NDVI,8,0.0250,0.0226,0.0275,
R_PORFIRI,NDVI,9,0.0204,0.0186,0.0217,
R_PORFIRI,NDVI,10,0.0329,0.0291,0.0381,
R_PORFIRI,NDVI,11,0.0590,0.0529,0.0663,
R_PORFIRI,NDVI,12,0.0714,0.0601,0.0828,
R_PORFIRI,NDMI,1,0.0245,0.0080,0.0268,0.0427
R_PORFIRI,NDMI,2,0.0225,0.0133,0.0300,0.0446
R_PORFIRI,NDMI,3,0.0215,0.0157,0.0287,0.0415
R_PORFIRI,NDMI,4,0.0256,0.0183,0.0326,0.0410
R_PORFIRI,NDMI,5,0.0252,0.0173,0.0308,0.0290
R_PORFIRI,NDMI,6,0.0095,-0.0040,0.0207,
R_PORFIRI,NDMI,7,-0.0084,-0.0133,-0.0058,
R_PORFIRI,NDMI,8,-0.0161,-0.0184,-0.0146,
R_PORFIRI,NDMI,9,-0.0173,-0.0190,-0.0139,
R_PORFIRI,NDMI,10,-0.0035,-0.0110,0.0004,
R_PORFIRI,NDMI,11,0.0173,0.0134,0.0210,
R_PORFIRI,NDMI,12,0.0282,0.0223,0.0382,
R_PORFIRI,MNDWI,1,-0.0475,-0.0498,-0.0470,-0.0518
R_PORFIRI,MNDWI,2,-0.0492,-0.0511,-0.0484,-0.0550
R_PORFIRI,MNDWI,3,-0.0492,-0.0496,-0.0487,-0.0522
R_PORFIRI,MNDWI,4,-0.0509,-0.0527,-0.0494,-0.0500
R_PORFIRI,MNDWI,5,-0.0490,-0.0495,-0.0392,-0.0498
R_PORFIRI,MNDWI,6,-0.0541,-0.0543,-0.0521,
R_PORFIRI,MNDWI,7,-0.0560,-0.0579,-0.0487,
R_PORFIRI,MNDWI,8,-0.0518,-0.0572,-0.0511,
R_PORFIRI,MNDWI,9,-0.0495,-0.0531,-0.0447,
R_PORFIRI,MNDWI,10,-0.0445,-0.0509,-0.0444,
R_PORFIRI,MNDWI,11,-0.0472,-0.0499,-0.0446,
R_PORFIRI,MNDWI,12,-0.0482,-0.0504,-0.0458,
R_PORFIRI,GNDVI,1,0.0620,0.0508,0.0663,0.0769
R_PORFIRI,GNDVI,2,0.0638,0.0563,0.0695,0.0797
R_PORFIRI,GNDVI,3,0.0610,0.0595,0.0674,0.0770
R_PORFIRI,GNDVI,4,0.0676,0.0627,0.0708,0.0751
R_PORFIRI,GNDVI,5,0.0578,0.0577,0.0694,0.0703
R_PORFIRI,GNDVI,6,0.0586,0.0511,0.0663,
R_PORFIRI,GNDVI,7,0.0457,0.0386,0.0551,
R_PORFIRI,GNDVI,8,0.0414,0.0366,0.0454,
R_PORFIRI,GNDVI,9,0.0358,0.0328,0.0383,
R_PORFIRI,GNDVI,10,0.0433,0.0403,0.0450,
R_PORFIRI,GNDVI,11,0.0588,0.0537,0.0631,
R_PORFIRI,GNDVI,12,0.0667,0.0592,0.0733,
R_PORFIRI,EVI,1,0.0524,0.0327,0.0540,0.0774
R_PORFIRI,EVI,2,0.0427,0.0363,0.0523,0.0761
R_PORFIRI,EVI,3,0.0408,0.0350,0.0493,0.0674
R_PORFIRI,EVI,4,0.0421,0.0358,0.0492,0.0591
R_PORFIRI,EVI,5,0.0397,0.0295,0.0459,0.0444
R_PORFIRI,EVI,6,0.0217,0.0144,0.0265,
R_PORFIRI,EVI,7,0.0122,0.0118,0.0168,
R_PORFIRI,EVI,8,0.0122,0.0106,0.0126,
R_PORFIRI,EVI,9,0.0115,0.0103,0.0116,
R_PORFIRI,EVI,10,0.0197,0.0165,0.0241,
R_PORFIRI,EVI,11,0.0422,0.0387,0.0476,
R_PORFIRI,EVI,12,0.0571,0.0482,0.0713,
R_PORFIRI,MSAVI,1,0.0487,0.0302,0.0508,0.0736
R_PORFIRI,MSAVI,2,0.0398,0.0336,0.0500,0.0748
R_PORFIRI,MSAVI,3,0.0372,0.0331,0.0454,0.0651
R_PORFIRI,MSAVI,4,0.0411,0.0341,0.0477,0.0576
R_PORFIRI,MSAVI,5,0.0348,0.0259,0.0433,0.0430
R_PORFIRI,MSAVI,6,0.0208,0.0136,0.0262,
R_PORFIRI,MSAVI,7,0.0111,0.0103,0.0168,
R_PORFIRI,MSAVI,8,0.0107,0.0092,0.0115,
R_PORFIRI,MSAVI,9,0.0100,0.0090,0.0104,
R_PORFIRI,MSAVI,10,0.0178,0.0150,0.0219,
R_PORFIRI,MSAVI,11,0.0402,0.0366,0.0450,
R_PORFIRI,MSAVI,12,0.0553,0.0452,0.0670,
R_PORFIRI,REDEDGE_POSITION,1,,,,
R_PORFIRI,REDEDGE_POSITION,2,,,,
R_PORFIRI,REDEDGE_POSITION,3,,,,
R_PORFIRI,REDEDGE_POSITION,4,,,,
R_PORFIRI,REDEDGE_POSITION,5,,,,
R_PORFIRI,REDEDGE_POSITION,6,,,,
R_PORFIRI,REDEDGE_POSITION,7,,,,
R_PORFIRI,REDEDGE_POSITION,8,,,,
R_PORFIRI,REDEDGE_POSITION,9,627.3365,505.2298,749.4433,
R_PORFIRI,REDEDGE_POSITION,10,,,,
R_PORFIRI,REDEDGE_POSITION,11,,,,
R_PORFIRI,REDEDGE_POSITION,12,,,,
R_PORFIRI,MCARI,1,0.0106,0.0066,0.0116,0.0282
R_PORFIRI,MCARI,2,0.0068,0.0055,0.0139,0.0247
R_PORFIRI,MCARI,3,0.0067,0.0049,0.0092,0.0193
R_PORFIRI,MCARI,4,0.0084,0.0064,0.0129,0.0167
R_PORFIRI,MCARI,5,0.0094,0.0047,0.0117,0.0107
R_PORFIRI,MCARI,6,0.0049,0.0018,0.0066,
R_PORFIRI,MCARI,7,0.0013,0.0012,0.0018,
R_PORFIRI,MCARI,8,0.0009,0.0008,0.0011,
R_PORFIRI,MCARI,9,0.0007,0.0007,0.0009,
R_PORFIRI,MCARI,10,0.0033,0.0023,0.0042,
R_PORFIRI,MCARI,11,0.0129,0.0089,0.0152,
R_PORFIRI,MCARI,12,0.0174,0.0141,0.0278,
R_PORFIRI,PSRI,1,0.0104,0.0086,0.0204,0.0016
R_PORFIRI,PSRI,2,0.0122,0.0083,0.0165,0.0025
R_PORFIRI,PSRI,3,0.0117,0.0078,0.0157,0.0035
R_PORFIRI,PSRI,4,0.0127,0.0085,0.0156,0.0045
R_PORFIRI,PSRI,5,0.0091,0.0085,0.0104,0.0162
R_PORFIRI,PSRI,6,0.0307,0.0274,0.0345,
R_PORFIRI,PSRI,7,0.0378,0.0302,0.0409,
R_PORFIRI,PSRI,8,0.0362,0.0304,0.0385,
R_PORFIRI,PSRI,9,0.0363,0.0354,0.0377,
R_PORFIRI,PSRI,10,0.0255,0.0235,0.0317,
R_PORFIRI,PSRI,11,0.0148,0.0102,0.0163,
R_PORFIRI,PSRI,12,0.0088,0.0031,0.0130,
