predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
V_SIEBENTHAL3,NDVI,1,0.0490,0.0477,0.0503,0.0437
V_SIEBENTHAL3,NDVI,2,0.0485,0.0457,0.0513,0.0438
V_SIEBENTHAL3,NDVI,3,0.0492,0.0470,0.0514,0.0408
V_SIEBENTHAL3,NDVI,4,0.0456,0.0455,0.0456,0.0400
V_SIEBENTHAL3,NDVI,5,0.0474,0.0473,0.0475,0.0407
V_SIEBENTHAL3,NDVI,6,0.0478,0.0476,0.0480,0.0423
V_SIEBENTHAL3,NDVI,7,0.0503,0.0499,0.0507,0.0414
V_SIEBENTHAL3,NDVI,8,0.0502,0.0502,0.0502,0.0412
V_SIEBENTHAL3,NDVI,9,0.0519,0.0500,0.0538,0.0409
V_SIEBENTHAL3,NDVI,10,0.0506,0.0473,0.0538,0.0418
V_SIEBENTHAL3,NDVI,11,0.0494,0.0457,0.0530,0.0432
V_SIEBENTHAL3,NDVI,12,0.0492,0.0461,0.0522,0.0450
V_SIEBENTHAL3,NDVI,13,0.0478,0.0450,0.0506,0.0487
V_SIEBENTHAL3,NDVI,14,0.0509,0.0494,0.0524,0.0482
V_SIEBENTHAL3,NDVI,15,0.0482,0.0482,0.0482,0.0482
V_SIEBENTHAL3,NDVI,16,0.0531,0.0531,0.0531,0.0457
V_SIEBENTHAL3,NDVI,17,0.0473,0.0468,0.0479,0.0457
V_SIEBENTHAL3,NDVI,18,0.0459,0.0459,0.0459,0.0452
V_SIEBENTHAL3,NDVI,19,0.0429,0.0429,0.0429,0.0464
V_SIEBENTHAL3,NDVI,20,0.0445,0.0435,0.0455,0.0430
V_SIEBENTHAL3,NDVI,21,,,,0.0408
V_SIEBENTHAL3,NDVI,22,0.0450,0.0438,0.0462,0.0340
V_SIEBENTHAL3,NDVI,23,0.0369,0.0369,0.0369,
V_SIEBENTHAL3,NDVI,24,0.0456,0.0456,0.0456,0.0322
V_SIEBENTHAL3,NDVI,25,0.0352,0.0352,0.0352,
V_SIEBENTHAL3,NDVI,26,0.0397,0.0363,0.0431,
V_SIEBENTHAL3,NDVI,27,0.0404,0.0368,0.0440,
V_SIEBENTHAL3,NDVI,28,0.0394,0.0372,0.0417,
V_SIEBENTHAL3,NDVI,29,0.0402,0.0375,0.0429,
V_SIEBENTHAL3,NDVI,30,0.0428,0.0428,0.0428,
V_SIEBENTHAL3,NDVI,31,,,,
V_SIEBENTHAL3,NDVI,32,0.0446,0.0437,0.0456,
V_SIEBENTHAL3,NDVI,33,,,,
V_SIEBENTHAL3,NDVI,34,0.0429,0.0380,0.0477,
V_SIEBENTHAL3,NDVI,35,0.0506,0.0506,0.0506,
V_SIEBENTHAL3,NDVI,36,0.0393,0.0375,0.0411,
V_SIEBENTHAL3,NDVI,37,0.0335,0.0324,0.0346,
V_SIEBENTHAL3,NDVI,38,0.0289,0.0283,0.0295,
V_SIEBENTHAL3,NDVI,39,0.0303,0.0298,0.0308,
V_SIEBENTHAL3,NDVI,40,0.0351,0.0351,0.0351,
V_SIEBENTHAL3,NDVI,41,0.0339,0.0339,0.0339,
V_SIEBENTHAL3,NDVI,42,0.0387,0.0383,0.0391,
V_SIEBENTHAL3,NDVI,43,0.0418,0.0417,0.0419,
V_SIEBENTHAL3,NDVI,44,0.0446,0.0446,0.0446,
V_SIEBENTHAL3,NDVI,45,0.0457,0.0448,0.0467,
V_SIEBENTHAL3,NDVI,46,0.0454,0.0442,0.0467,
V_SIEBENTHAL3,NDVI,47,0.0430,0.0414,0.0446,
V_SIEBENTHAL3,NDVI,48,0.0443,0.0421,0.0464,
V_SIEBENTHAL3,NDVI,49,0.0435,0.0424,0.0446,
V_SIEBENTHAL3,NDVI,50,0.0456,0.0444,0.0468,
V_SIEBENTHAL3,NDVI,51,0.0443,0.0442,0.0445,
V_SIEBENTHAL3,NDVI,52,0.0441,0.0435,0.0447,
V_SIEBENTHAL3,NDMI,1,0.0061,0.0053,0.0069,0.0003
V_SIEBENTHAL3,NDMI,2,0.0063,0.0044,0.0082,-0.0001
V_SIEBENTHAL3,NDMI,3,0.0069,0.0055,0.0082,-0.0015
V_SIEBENTHAL3,NDMI,4,0.0032,0.0022,0.0041,-0.0030
V_SIEBENTHAL3,NDMI,5,0.0049,0.0039,0.0059,-0.0013
V_SIEBENTHAL3,NDMI,6,0.0051,0.0034,0.0067,-0.0013
V_SIEBENTHAL3,NDMI,7,0.0075,0.0065,0.0085,-0.0016
V_SIEBENTHAL3,NDMI,8,0.0103,0.0103,0.0103,-0.0006
V_SIEBENTHAL3,NDMI,9,0.0085,0.0079,0.0092,-0.0014
V_SIEBENTHAL3,NDMI,10,0.0075,0.0056,0.0094,-0.0007
V_SIEBENTHAL3,NDMI,11,0.0068,0.0047,0.0089,0.0004
V_SIEBENTHAL3,NDMI,12,0.0061,0.0044,0.0078,0.0015
V_SIEBENTHAL3,NDMI,13,0.0044,0.0028,0.0060,0.0033
V_SIEBENTHAL3,NDMI,14,0.0052,0.0042,0.0062,0.0027
V_SIEBENTHAL3,NDMI,15,0.0029,0.0029,0.0029,0.0046
V_SIEBENTHAL3,NDMI,16,0.0042,0.0042,0.0042,0.0099
V_SIEBENTHAL3,NDMI,17,0.0013,0.0013,0.0013,0.0012
V_SIEBENTHAL3,NDMI,18,0.0010,0.0010,0.0010,0.0008
V_SIEBENTHAL3,NDMI,19,0.0008,0.0008,0.0008,0.0105
V_SIEBENTHAL3,NDMI,20,-0.0026,-0.0042,-0.0009,0.0004
V_SIEBENTHAL3,NDMI,21,,,,0.0006
V_SIEBENTHAL3,NDMI,22,-0.0074,-0.0081,-0.0067,0.0041
V_SIEBENTHAL3,NDMI,23,-0.0117,-0.0117,-0.0117,
V_SIEBENTHAL3,NDMI,24,-0.0168,-0.0168,-0.0168,0.0033
V_SIEBENTHAL3,NDMI,25,-0.0070,-0.0070,-0.0070,
V_SIEBENTHAL3,NDMI,26,-0.0153,-0.0155,-0.0151,
V_SIEBENTHAL3,NDMI,27,-0.0157,-0.0169,-0.0146,
V_SIEBENTHAL3,NDMI,28,-0.0127,-0.0144,-0.0110,
V_SIEBENTHAL3,NDMI,29,-0.0154,-0.0157,-0.0152,
V_SIEBENTHAL3,NDMI,30,-0.0080,-0.0080,-0.0080,
V_SIEBENTHAL3,NDMI,31,,,,
