predio,band,month,historical_median,historical_p25,historical_p75,value_2026
V_SIEBENTHAL,NDVI,1,0.0512,0.0506,0.0544,0.0431
V_SIEBENTHAL,NDVI,2,0.0517,0.0511,0.0526,0.0440
V_SIEBENTHAL,NDVI,3,0.0476,0.0464,0.0505,0.0439
V_SIEBENTHAL,NDVI,4,0.0491,0.0474,0.0507,0.0451
V_SIEBENTHAL,NDVI,5,0.0441,0.0418,0.0462,0.0364
V_SIEBENTHAL,NDVI,6,0.0370,0.0347,0.0429,0.0268
V_SIEBENTHAL,NDVI,7,0.0378,0.0376,0.0415,
V_SIEBENTHAL,NDVI,8,0.0544,0.0458,0.0561,
V_SIEBENTHAL,NDVI,9,0.0346,0.0333,0.0388,
V_SIEBENTHAL,NDVI,10,0.0447,0.0383,0.0494,
V_SIEBENTHAL,NDVI,11,0.0485,0.0470,0.0494,
V_SIEBENTHAL,NDVI,12,0.0499,0.0456,0.0561,
V_SIEBENTHAL,NDMI,1,0.0031,0.0010,0.0041,-0.0094
V_SIEBENTHAL,NDMI,2,0.0021,0.0009,0.0033,-0.0099
V_SIEBENTHAL,NDMI,3,-0.0025,-0.0030,-0.0001,-0.0090
V_SIEBENTHAL,NDMI,4,-0.0024,-0.0027,-0.0013,-0.0075
V_SIEBENTHAL,NDMI,5,-0.0054,-0.0091,-0.0042,-0.0108
V_SIEBENTHAL,NDMI,6,-0.0208,-0.0234,-0.0207,-0.0122
V_SIEBENTHAL,NDMI,7,-0.0224,-0.0238,-0.0204,
V_SIEBENTHAL,NDMI,8,-0.0004,-0.0034,0.0041,
V_SIEBENTHAL,NDMI,9,-0.0215,-0.0225,-0.0192,
V_SIEBENTHAL,NDMI,10,-0.0114,-0.0197,-0.0089,
V_SIEBENTHAL,NDMI,11,-0.0060,-0.0077,-0.0050,
V_SIEBENTHAL,NDMI,12,-0.0039,-0.0089,0.0047,
V_SIEBENTHAL,MNDWI,1,-0.0539,-0.0549,-0.0534,-0.0571
V_SIEBENTHAL,MNDWI,2,-0.0553,-0.0567,-0.0544,-0.0585
V_SIEBENTHAL,MNDWI,3,-0.0554,-0.0558,-0.0549,-0.0579
V_SIEBENTHAL,MNDWI,4,-0.0587,-0.0599,-0.0579,-0.0580
V_SIEBENTHAL,MNDWI,5,-0.0604,-0.0644,-0.0576,-0.0574
V_SIEBENTHAL,MNDWI,6,-0.0651,-0.0674,-0.0593,-0.0537
V_SIEBENTHAL,MNDWI,7,-0.0647,-0.0675,-0.0623,
V_SIEBENTHAL,MNDWI,8,-0.0576,-0.0583,-0.0516,
V_SIEBENTHAL,MNDWI,9,-0.0599,-0.0617,-0.0578,
V_SIEBENTHAL,MNDWI,10,-0.0601,-0.0603,-0.0587,
V_SIEBENTHAL,MNDWI,11,-0.0573,-0.0581,-0.0563,
V_SIEBENTHAL,MNDWI,12,-0.0562,-0.0577,-0.0554,
V_SIEBENTHAL,GNDVI,1,0.0552,0.0549,0.0575,0.0502
V_SIEBENTHAL,GNDVI,2,0.0565,0.0561,0.0572,0.0516
V_SIEBENTHAL,GNDVI,3,0.0536,0.0523,0.0565,0.0517
V_SIEBENTHAL,GNDVI,4,0.0568,0.0559,0.0580,0.0529
V_SIEBENTHAL,GNDVI,5,0.0566,0.0545,0.0570,0.0501
V_SIEBENTHAL,GNDVI,6,0.0513,0.0479,0.0518,0.0446
V_SIEBENTHAL,GNDVI,7,0.0505,0.0465,0.0527,
V_SIEBENTHAL,GNDVI,8,0.0539,0.0521,0.0569,
V_SIEBENTHAL,GNDVI,9,0.0449,0.0428,0.0475,
V_SIEBENTHAL,GNDVI,10,0.0513,0.0472,0.0526,
V_SIEBENTHAL,GNDVI,11,0.0526,0.0522,0.0538,
V_SIEBENTHAL,GNDVI,12,0.0544,0.0519,0.0581,
V_SIEBENTHAL,EVI,1,0.0299,0.0290,0.0317,0.0230
V_SIEBENTHAL,EVI,2,0.0282,0.0277,0.0289,0.0215
V_SIEBENTHAL,EVI,3,0.0241,0.0236,0.0254,0.0211
V_SIEBENTHAL,EVI,4,0.0232,0.0228,0.0235,0.0208
V_SIEBENTHAL,EVI,5,0.0204,0.0171,0.0210,0.0172
V_SIEBENTHAL,EVI,6,0.0129,0.0125,0.0131,0.0063
V_SIEBENTHAL,EVI,7,0.0137,0.0133,0.0146,
V_SIEBENTHAL,EVI,8,0.0251,0.0234,0.0281,
V_SIEBENTHAL,EVI,9,0.0162,0.0158,0.0175,
V_SIEBENTHAL,EVI,10,0.0230,0.0185,0.0259,
V_SIEBENTHAL,EVI,11,0.0273,0.0263,0.0284,
V_SIEBENTHAL,EVI,12,0.0281,0.0248,0.0340,
V_SIEBENTHAL,MSAVI,1,0.0258,0.0247,0.0277,0.0198
V_SIEBENTHAL,MSAVI,2,0.0249,0.0247,0.0253,0.0189
V_SIEBENTHAL,MSAVI,3,0.0210,0.0205,0.0227,0.0185
V_SIEBENTHAL,MSAVI,4,0.0207,0.0203,0.0210,0.0183
V_SIEBENTHAL,MSAVI,5,0.0181,0.0154,0.0186,0.0148
V_SIEBENTHAL,MSAVI,6,0.0113,0.0107,0.0114,0.0055
V_SIEBENTHAL,MSAVI,7,0.0121,0.0117,0.0131,
