predio,band,month,historical_median,historical_p25,historical_p75,value_2026
V_SIEBENTHAL3,NDVI,1,0.0465,0.0455,0.0516,0.0411
V_SIEBENTHAL3,NDVI,2,0.0489,0.0479,0.0504,0.0413
V_SIEBENTHAL3,NDVI,3,0.0487,0.0428,0.0556,0.0442
V_SIEBENTHAL3,NDVI,4,0.0483,0.0479,0.0519,0.0470
V_SIEBENTHAL3,NDVI,5,0.0444,0.0426,0.0464,0.0415
V_SIEBENTHAL3,NDVI,6,0.0369,0.0352,0.0456,
V_SIEBENTHAL3,NDVI,7,0.0428,0.0348,0.0448,
V_SIEBENTHAL3,NDVI,8,0.0465,0.0428,0.0506,
V_SIEBENTHAL3,NDVI,9,0.0313,0.0299,0.0356,
V_SIEBENTHAL3,NDVI,10,0.0395,0.0365,0.0418,
V_SIEBENTHAL3,NDVI,11,0.0451,0.0422,0.0477,
V_SIEBENTHAL3,NDVI,12,0.0443,0.0432,0.0454,
V_SIEBENTHAL3,NDMI,1,0.0051,0.0042,0.0077,-0.0015
V_SIEBENTHAL3,NDMI,2,0.0078,0.0048,0.0096,-0.0014
V_SIEBENTHAL3,NDMI,3,0.0057,0.0026,0.0099,0.0010
V_SIEBENTHAL3,NDMI,4,0.0031,0.0017,0.0039,0.0024
V_SIEBENTHAL3,NDMI,5,-0.0026,-0.0059,0.0008,0.0021
V_SIEBENTHAL3,NDMI,6,-0.0150,-0.0156,-0.0117,
V_SIEBENTHAL3,NDMI,7,-0.0149,-0.0160,-0.0113,
V_SIEBENTHAL3,NDMI,8,-0.0028,-0.0102,0.0024,
V_SIEBENTHAL3,NDMI,9,-0.0141,-0.0184,-0.0117,
V_SIEBENTHAL3,NDMI,10,-0.0080,-0.0118,-0.0058,
V_SIEBENTHAL3,NDMI,11,-0.0007,-0.0024,0.0010,
V_SIEBENTHAL3,NDMI,12,0.0005,-0.0004,0.0013,
V_SIEBENTHAL3,NDWI,1,-0.0533,-0.0553,-0.0531,-0.0517
V_SIEBENTHAL3,NDWI,2,-0.0559,-0.0565,-0.0552,-0.0527
V_SIEBENTHAL3,NDWI,3,-0.0559,-0.0590,-0.0536,-0.0545
V_SIEBENTHAL3,NDWI,4,-0.0585,-0.0593,-0.0581,-0.0563
V_SIEBENTHAL3,NDWI,5,-0.0580,-0.0588,-0.0570,-0.0549
V_SIEBENTHAL3,NDWI,6,-0.0523,-0.0531,-0.0507,
V_SIEBENTHAL3,NDWI,7,-0.0504,-0.0529,-0.0491,
V_SIEBENTHAL3,NDWI,8,-0.0520,-0.0558,-0.0466,
V_SIEBENTHAL3,NDWI,9,-0.0427,-0.0466,-0.0420,
V_SIEBENTHAL3,NDWI,10,-0.0477,-0.0500,-0.0466,
V_SIEBENTHAL3,NDWI,11,-0.0519,-0.0543,-0.0497,
V_SIEBENTHAL3,NDWI,12,-0.0524,-0.0531,-0.0518,
V_SIEBENTHAL3,MNDWI,1,-0.0497,-0.0501,-0.0497,-0.0527
V_SIEBENTHAL3,MNDWI,2,-0.0507,-0.0522,-0.0495,-0.0536
V_SIEBENTHAL3,MNDWI,3,-0.0521,-0.0522,-0.0518,-0.0539
V_SIEBENTHAL3,MNDWI,4,-0.0569,-0.0572,-0.0557,-0.0547
V_SIEBENTHAL3,MNDWI,5,-0.0594,-0.0617,-0.0572,-0.0529
V_SIEBENTHAL3,MNDWI,6,-0.0609,-0.0628,-0.0583,
V_SIEBENTHAL3,MNDWI,7,-0.0615,-0.0626,-0.0585,
V_SIEBENTHAL3,MNDWI,8,-0.0590,-0.0592,-0.0547,
V_SIEBENTHAL3,MNDWI,9,-0.0556,-0.0567,-0.0541,
V_SIEBENTHAL3,MNDWI,10,-0.0552,-0.0554,-0.0532,
V_SIEBENTHAL3,MNDWI,11,-0.0525,-0.0539,-0.0520,
V_SIEBENTHAL3,MNDWI,12,-0.0519,-0.0532,-0.0510,
V_SIEBENTHAL3,GNDVI,1,0.0533,0.0531,0.0553,0.0517
V_SIEBENTHAL3,GNDVI,2,0.0559,0.0552,0.0565,0.0527
V_SIEBENTHAL3,GNDVI,3,0.0559,0.0536,0.0590,0.0545
V_SIEBENTHAL3,GNDVI,4,0.0585,0.0581,0.0593,0.0563
V_SIEBENTHAL3,GNDVI,5,0.0580,0.0570,0.0588,0.0549
V_SIEBENTHAL3,GNDVI,6,0.0523,0.0507,0.0531,
V_SIEBENTHAL3,GNDVI,7,0.0504,0.0491,0.0529,
V_SIEBENTHAL3,GNDVI,8,0.0520,0.0466,0.0558,
V_SIEBENTHAL3,GNDVI,9,0.0427,0.0420,0.0466,
V_SIEBENTHAL3,GNDVI,10,0.0477,0.0466,0.0500,
V_SIEBENTHAL3,GNDVI,11,0.0519,0.0497,0.0543,
V_SIEBENTHAL3,GNDVI,12,0.0524,0.0519,0.0531,
V_SIEBENTHAL3,EVI,1,0.0322,0.0301,0.0341,0.0267
V_SIEBENTHAL3,EVI,2,0.0316,0.0297,0.0326,0.0254
V_SIEBENTHAL3,EVI,3,0.0272,0.0245,0.0299,0.0245
V_SIEBENTHAL3,EVI,4,0.0239,0.0225,0.0245,0.0237
V_SIEBENTHAL3,EVI,5,0.0196,0.0178,0.0210,0.0222
V_SIEBENTHAL3,EVI,6,0.0159,0.0143,0.0159,
V_SIEBENTHAL3,EVI,7,0.0182,0.0147,0.0187,
V_SIEBENTHAL3,EVI,8,0.0270,0.0203,0.0278,
V_SIEBENTHAL3,EVI,9,0.0166,0.0153,0.0173,
V_SIEBENTHAL3,EVI,10,0.0213,0.0198,0.0238,
V_SIEBENTHAL3,EVI,11,0.0291,0.0268,0.0306,
V_SIEBENTHAL3,EVI,12,0.0297,0.0292,0.0303,
V_SIEBENTHAL3,SAVI,1,0.0309,0.0297,0.0332,0.0267
