predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
O_HERRERA,NDVI,1,0.0823,0.0812,0.0835,0.0774
O_HERRERA,NDVI,2,0.0835,0.0831,0.0839,0.0774
O_HERRERA,NDVI,3,0.0837,0.0831,0.0844,0.0774
O_HERRERA,NDVI,4,0.0835,0.0825,0.0845,0.0708
O_HERRERA,NDVI,5,0.0834,0.0828,0.0839,0.0764
O_HERRERA,NDVI,6,0.0829,0.0819,0.0839,0.0766
O_HERRERA,NDVI,7,0.0810,0.0802,0.0818,0.0754
O_HERRERA,NDVI,8,0.0562,0.0562,0.0562,0.0760
O_HERRERA,NDVI,9,0.0789,0.0788,0.0790,0.0736
O_HERRERA,NDVI,10,0.0797,0.0795,0.0798,0.0733
O_HERRERA,NDVI,11,0.0779,0.0769,0.0790,0.0700
O_HERRERA,NDVI,12,0.0774,0.0771,0.0776,0.0726
O_HERRERA,NDVI,13,0.0726,0.0711,0.0740,0.0726
O_HERRERA,NDVI,14,0.0795,0.0793,0.0796,0.0692
O_HERRERA,NDVI,15,0.0796,0.0796,0.0796,0.0663
O_HERRERA,NDVI,16,0.0879,0.0879,0.0879,
O_HERRERA,NDVI,17,0.0764,0.0731,0.0797,0.0494
O_HERRERA,NDVI,18,0.0626,0.0626,0.0626,0.0688
O_HERRERA,NDVI,19,,,,
O_HERRERA,NDVI,20,0.0568,0.0520,0.0615,
O_HERRERA,NDVI,21,,,,
O_HERRERA,NDVI,22,0.0292,0.0292,0.0292,
O_HERRERA,NDVI,23,0.0367,0.0367,0.0367,
O_HERRERA,NDVI,24,0.0448,0.0448,0.0448,
O_HERRERA,NDVI,25,0.0400,0.0400,0.0400,
O_HERRERA,NDVI,26,0.0375,0.0351,0.0400,
O_HERRERA,NDVI,27,0.0337,0.0305,0.0370,
O_HERRERA,NDVI,28,0.0321,0.0301,0.0340,
O_HERRERA,NDVI,29,0.0308,0.0288,0.0329,
O_HERRERA,NDVI,30,0.0285,0.0285,0.0285,
O_HERRERA,NDVI,31,,,,
O_HERRERA,NDVI,32,0.0278,0.0249,0.0307,
O_HERRERA,NDVI,33,0.0181,0.0181,0.0181,
O_HERRERA,NDVI,34,0.0213,0.0204,0.0222,
O_HERRERA,NDVI,35,0.0241,0.0241,0.0241,
O_HERRERA,NDVI,36,0.0222,0.0222,0.0223,
O_HERRERA,NDVI,37,0.0251,0.0240,0.0263,
O_HERRERA,NDVI,38,0.0337,0.0276,0.0398,
O_HERRERA,NDVI,39,0.0391,0.0316,0.0467,
O_HERRERA,NDVI,40,0.0664,0.0664,0.0664,
O_HERRERA,NDVI,41,0.0443,0.0443,0.0443,
O_HERRERA,NDVI,42,0.0676,0.0612,0.0740,
O_HERRERA,NDVI,43,0.0715,0.0685,0.0744,
O_HERRERA,NDVI,44,0.0730,0.0684,0.0776,
O_HERRERA,NDVI,45,0.0741,0.0710,0.0772,
O_HERRERA,NDVI,46,0.0773,0.0753,0.0793,
O_HERRERA,NDVI,47,0.0776,0.0746,0.0807,
O_HERRERA,NDVI,48,0.0787,0.0768,0.0806,
O_HERRERA,NDVI,49,0.0803,0.0778,0.0828,
O_HERRERA,NDVI,50,0.0806,0.0790,0.0823,
O_HERRERA,NDVI,51,0.0788,0.0770,0.0806,
O_HERRERA,NDVI,52,0.0805,0.0782,0.0829,
O_HERRERA,NDMI,1,0.0404,0.0397,0.0410,0.0358
O_HERRERA,NDMI,2,0.0409,0.0408,0.0410,0.0352
O_HERRERA,NDMI,3,0.0402,0.0398,0.0406,0.0342
O_HERRERA,NDMI,4,0.0403,0.0395,0.0410,0.0301
O_HERRERA,NDMI,5,0.0385,0.0383,0.0388,0.0320
O_HERRERA,NDMI,6,0.0368,0.0362,0.0373,0.0315
O_HERRERA,NDMI,7,0.0328,0.0325,0.0331,0.0306
